"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","joint_security_force_exercise","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","joint_security_force_exerciseNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","liberianobserver.com","analystliberiaonline.com","frontpageafricaonline.com","inquirernewspaper.com","thenewsnewspaper.online"
"2016-01-01","Liberia",0,0,6,1,1,0,0,35,2,3,1,1,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.0263157894736842,0.0043859649122807,0.0043859649122807,0,0,0.153508771929825,0.0087719298245614,0.0131578947368421,0.0043859649122807,0.0043859649122807,0.0219298245614035,0.0043859649122807,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0.0087719298245614,0,0,0,0,0,0,0.0043859649122807,0,0,3,5,4,0,7,1,0,0,0,1,1,0.0131578947368421,0.0219298245614035,0.0175438596491228,0,0.0307017543859649,0.0043859649122807,0,0,0,0.0043859649122807,0.0043859649122807,228,156,0,2.4113552873785,0.0043859649122807,0.0087719298245614,228,0,0,0,0,0
"2016-02-01","Liberia",0,0,5,0,8,0,0,10,7,1,0,0,4,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0232558139534884,0,0.0372093023255814,0,0,0.0465116279069767,0.0325581395348837,0.00465116279069767,0,0,0.0186046511627907,0,0.00465116279069767,0.00465116279069767,0,0.00465116279069767,0.00465116279069767,0.00465116279069767,0.00465116279069767,0,0,0,0,0,0,0,0,0,0.00465116279069767,0,0,0,0,0,0.00465116279069767,0,3,5,2,1,7,0,0,2,1,2,0,0.013953488372093,0.0232558139534884,0.00930232558139535,0.00465116279069767,0.0325581395348837,0,0,0.00930232558139535,0.00465116279069767,0.00930232558139535,0,215,158,1,2.75337493518909,0.00465116279069767,0.00930232558139535,215,0,0,0,0,0
"2016-03-01","Liberia",2,1,2,0,5,0,1,16,5,1,0,3,4,1,2,3,1,2,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.00687285223367698,0.00343642611683849,0.00687285223367698,0,0.0171821305841924,0,0.00343642611683849,0.0549828178694158,0.0171821305841924,0.00343642611683849,0,0.0103092783505155,0.013745704467354,0.00343642611683849,0.00687285223367698,0.0103092783505155,0.00343642611683849,0.00687285223367698,0.00343642611683849,0.0103092783505155,0,0,0,0,0,0,0,0.00343642611683849,0,0,0.00343642611683849,0,0,0,0,0,0,0,1,3,0,0,6,1,5,0,0,1,1,0.00343642611683849,0.0103092783505155,0,0,0.0206185567010309,0.00343642611683849,0.0171821305841924,0,0,0.00343642611683849,0.00343642611683849,291,224,0,2.33379665086348,0,0.00687285223367698,291,0,0,1,0,0
"2016-04-01","Liberia",2,0,9,1,7,1,0,25,13,1,0,1,13,4,8,8,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.00479616306954436,0,0.0215827338129496,0.00239808153477218,0.0167865707434053,0.00239808153477218,0,0.0599520383693046,0.0311750599520384,0.00239808153477218,0,0.00239808153477218,0.0311750599520384,0.00959232613908873,0.0191846522781775,0.0191846522781775,0,0.0119904076738609,0,0.00239808153477218,0,0,0,0,0,0,0,0,0,0,0.00479616306954436,0,0,0,0.00239808153477218,0,0,0,9,7,7,2,13,3,1,0,1,1,3,0.0215827338129496,0.0167865707434053,0.0167865707434053,0.00479616306954436,0.0311750599520384,0.00719424460431655,0.00239808153477218,0,0.00239808153477218,0.00239808153477218,0.00719424460431655,417,293,0,4.8901029859412,0,0.00719424460431655,417,0,0,1,0,0
"2016-05-01","Liberia",2,0,11,0,8,0,1,7,33,13,0,1,44,4,3,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00466200466200466,0,0.0256410256410256,0,0.0186480186480186,0,0.00233100233100233,0.0163170163170163,0.0769230769230769,0.0303030303030303,0,0.00233100233100233,0.102564102564103,0.00932400932400932,0.00699300699300699,0.0466200466200466,0.00233100233100233,0.00233100233100233,0,0.00233100233100233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233100233100233,0,0,0,6,9,6,0,5,1,2,0,0,1,2,0.013986013986014,0.020979020979021,0.013986013986014,0,0.0116550116550117,0.00233100233100233,0.00466200466200466,0,0,0.00233100233100233,0.00466200466200466,429,296,2,10.4766996511092,0.00233100233100233,0,429,0,0,1,0,0
"2016-06-01","Liberia",1,1,15,1,10,4,2,6,33,8,0,0,29,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.00198807157057654,0.00198807157057654,0.0298210735586481,0.00198807157057654,0.0198807157057654,0.00795228628230616,0.00397614314115308,0.0119284294234592,0.0656063618290258,0.0159045725646123,0,0,0.0576540755467197,0.0099403578528827,0.00397614314115308,0.0119284294234592,0,0,0,0,0,0,0,0,0,0,0,0,0.00198807157057654,0,0,0,0.00198807157057654,0,0,0,0,0,5,12,9,0,13,5,2,1,0,3,6,0.0099403578528827,0.0238568588469185,0.0178926441351889,0,0.025844930417495,0.0099403578528827,0.00397614314115308,0.00198807157057654,0,0.00596421471172962,0.0119284294234592,503,363,0,7.99056646973946,0,0.00397614314115308,503,0,0,1,0,0
"2016-07-01","Liberia",1,1,6,1,13,1,0,16,15,10,0,1,16,4,6,4,0,3,0,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00221729490022173,0.00221729490022173,0.0133037694013304,0.00221729490022173,0.0288248337028825,0.00221729490022173,0,0.0354767184035477,0.0332594235033259,0.0221729490022173,0,0.00221729490022173,0.0354767184035477,0.00886917960088692,0.0133037694013304,0.00886917960088692,0,0.00665188470066519,0,0.00665188470066519,0,0,0,0.00443458980044346,0,0,0.00221729490022173,0,0,0,0.00221729490022173,0,0,0,0,0,0,0,1,23,1,0,6,2,0,2,0,2,2,0.00221729490022173,0.0509977827050998,0.00221729490022173,0,0.0133037694013304,0.00443458980044346,0,0.00443458980044346,0,0.00443458980044346,0.00443458980044346,451,327,0,4.86819008055767,0,0.00886917960088692,451,0,0,1,0,0
"2016-08-01","Liberia",1,3,8,1,13,1,0,4,14,3,0,4,17,4,0,9,1,2,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.00242718446601942,0.00728155339805825,0.0194174757281553,0.00242718446601942,0.0315533980582524,0.00242718446601942,0,0.00970873786407767,0.0339805825242718,0.00728155339805825,0,0.00970873786407767,0.0412621359223301,0.00970873786407767,0,0.0218446601941748,0.00242718446601942,0.00485436893203883,0,0.00485436893203883,0,0,0,0.00242718446601942,0,0,0.00242718446601942,0,0.00242718446601942,0.00242718446601942,0,0,0,0,0,0,0,0,3,7,5,0,16,1,0,2,1,0,5,0.00728155339805825,0.0169902912621359,0.0121359223300971,0,0.0388349514563107,0.00242718446601942,0,0.00485436893203883,0.00242718446601942,0,0.0121359223300971,412,307,0,4.6232346239477,0,0.0121359223300971,412,0,0,1,0,0
"2016-09-01","Liberia",3,0,8,1,22,2,2,6,15,4,0,0,16,1,5,14,1,5,1,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.0069284064665127,0,0.0184757505773672,0.0023094688221709,0.0508083140877598,0.0046189376443418,0.0046189376443418,0.0138568129330254,0.0346420323325635,0.0092378752886836,0,0,0.0369515011547344,0.0023094688221709,0.0115473441108545,0.0323325635103926,0.0023094688221709,0.0115473441108545,0.0023094688221709,0.0069284064665127,0,0,0,0,0,0,0,0,0.0046189376443418,0,0,0.0046189376443418,0,0,0,0,0,0,3,12,3,0,20,10,1,1,1,2,0,0.0069284064665127,0.0277136258660508,0.0069284064665127,0,0.046189376443418,0.023094688221709,0.0023094688221709,0.0023094688221709,0.0023094688221709,0.0046189376443418,0,433,290,0,6.4526802306329,0,0.0092378752886836,433,0,0,1,0,0
"2016-10-01","Liberia",1,0,8,4,12,1,1,5,19,4,0,1,17,1,5,4,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0.0025062656641604,0,0.0200501253132832,0.0100250626566416,0.0300751879699248,0.0025062656641604,0.0025062656641604,0.012531328320802,0.0476190476190476,0.0100250626566416,0,0.0025062656641604,0.0426065162907268,0.0025062656641604,0.012531328320802,0.0100250626566416,0,0.0025062656641604,0,0.0050125313283208,0,0,0,0,0,0,0,0.0025062656641604,0.0050125313283208,0,0,0,0,0,0,0,0,0.0050125313283208,6,4,4,1,8,0,2,2,1,0,5,0.0150375939849624,0.0100250626566416,0.0100250626566416,0.0025062656641604,0.0200501253132832,0,0.0050125313283208,0.0050125313283208,0.0025062656641604,0,0.012531328320802,399,302,0,5.31315662865153,0.0025062656641604,0.0100250626566416,399,0,0,1,0,0
"2016-11-01","Liberia",1,0,18,1,21,0,0,7,15,5,0,0,16,4,3,8,2,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00246913580246914,0,0.0444444444444444,0.00246913580246914,0.0518518518518519,0,0,0.0172839506172839,0.037037037037037,0.0123456790123457,0,0,0.0395061728395062,0.00987654320987654,0.00740740740740741,0.0197530864197531,0.00493827160493827,0,0.00740740740740741,0.00246913580246914,0.00493827160493827,0,0,0,0,0,0,0,0.00246913580246914,0,0,0,0,0,0,0,0,0,3,15,5,1,7,4,0,1,1,1,1,0.00740740740740741,0.037037037037037,0.0123456790123457,0.00246913580246914,0.0172839506172839,0.00987654320987654,0,0.00246913580246914,0.00246913580246914,0.00246913580246914,0.00246913580246914,405,283,3,4.77283712186705,0,0.00740740740740741,405,0,0,1,0,0
"2016-12-01","Liberia",0,0,6,2,9,6,2,1,13,9,0,1,14,2,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0186915887850467,0.00623052959501558,0.0280373831775701,0.0186915887850467,0.00623052959501558,0.00311526479750779,0.0404984423676012,0.0280373831775701,0,0.00311526479750779,0.043613707165109,0.00623052959501558,0.00934579439252336,0.0124610591900312,0,0,0,0.00311526479750779,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0.00311526479750779,0,0,0,0,0,0,1,9,2,1,6,3,0,0,1,1,2,0.00311526479750779,0.0280373831775701,0.00623052959501558,0.00311526479750779,0.0186915887850467,0.00934579439252336,0,0,0.00311526479750779,0.00311526479750779,0.00623052959501558,321,240,2,7.87766970849872,0,0.00623052959501558,321,0,0,1,0,0
"2017-01-01","Liberia",1,1,24,3,9,3,0,2,21,4,0,0,20,3,11,5,0,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00307692307692308,0.00307692307692308,0.0738461538461539,0.00923076923076923,0.0276923076923077,0.00923076923076923,0,0.00615384615384615,0.0646153846153846,0.0123076923076923,0,0,0.0615384615384615,0.00923076923076923,0.0338461538461538,0.0153846153846154,0,0.00615384615384615,0.00307692307692308,0.00307692307692308,0.00615384615384615,0.00307692307692308,0,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,14,0,2,1,2,1,3,0.00923076923076923,0.00923076923076923,0.0123076923076923,0.00307692307692308,0.0430769230769231,0,0.00615384615384615,0.00307692307692308,0.00615384615384615,0.00307692307692308,0.00923076923076923,325,203,0,8.27696313393608,0,0.0123076923076923,325,0,0,1,0,0
"2017-02-01","Liberia",1,0,19,6,9,1,0,4,15,6,0,0,17,0,2,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332225913621262,0,0.0631229235880399,0.0199335548172757,0.0299003322259136,0.00332225913621262,0,0.0132890365448505,0.0498338870431894,0.0199335548172757,0,0,0.0564784053156146,0,0.00664451827242525,0.026578073089701,0,0.0132890365448505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,0,10,4,0,0,0,1,2,0.00664451827242525,0.0332225913621262,0.0132890365448505,0,0.0332225913621262,0.0132890365448505,0,0,0,0.00332225913621262,0.00664451827242525,301,196,0,6.6768642507178,0,0,301,0,0,1,0,0
"2017-03-01","Liberia",1,0,27,3,18,0,0,3,13,5,0,0,18,1,1,6,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0025706940874036,0,0.0694087403598972,0.0077120822622108,0.0462724935732648,0,0,0.0077120822622108,0.0334190231362468,0.012853470437018,0,0,0.0462724935732648,0.0025706940874036,0.0025706940874036,0.0154241645244216,0,0.0025706940874036,0.0025706940874036,0.0025706940874036,0,0,0,0,0,0,0.0051413881748072,0,0,0,0,0,0,0,0,0,0,0,2,19,12,1,16,3,1,1,0,0,0,0.0051413881748072,0.0488431876606684,0.0308483290488432,0.0025706940874036,0.0411311053984576,0.0077120822622108,0.0025706940874036,0.0025706940874036,0,0,0,389,266,0,4.74947530237522,0,0.0051413881748072,389,0,0,1,0,0
"2017-04-01","Liberia",3,0,13,0,17,0,0,9,10,2,1,2,7,4,3,5,0,4,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.00763358778625954,0,0.0330788804071247,0,0.0432569974554707,0,0,0.0229007633587786,0.0254452926208651,0.00508905852417303,0.00254452926208651,0.00508905852417303,0.0178117048346056,0.0101781170483461,0.00763358778625954,0.0127226463104326,0,0.0101781170483461,0.00763358778625954,0,0.00254452926208651,0,0,0.00254452926208651,0,0,0,0,0.00254452926208651,0,0,0,0,0,0.00254452926208651,0,0,0,5,14,6,0,16,2,2,1,0,1,0,0.0127226463104326,0.0356234096692112,0.0152671755725191,0,0.0407124681933842,0.00508905852417303,0.00508905852417303,0.00254452926208651,0,0.00254452926208651,0,393,274,0,3.3248660314055,0,0.0101781170483461,393,0,0,1,0,0
"2017-05-01","Liberia",0,0,26,1,17,0,1,14,14,7,0,1,12,3,6,6,1,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.0651629072681704,0.0025062656641604,0.0426065162907268,0,0.0025062656641604,0.0350877192982456,0.0350877192982456,0.0175438596491228,0,0.0025062656641604,0.0300751879699248,0.0075187969924812,0.0150375939849624,0.0150375939849624,0.0025062656641604,0.0025062656641604,0.0050125313283208,0.0050125313283208,0,0,0,0.0050125313283208,0,0,0,0,0,0,0,0,0,0,0.0025062656641604,0,0.0050125313283208,0,4,8,4,0,5,2,3,1,0,5,2,0.0100250626566416,0.0200501253132832,0.0100250626566416,0,0.012531328320802,0.0050125313283208,0.0075187969924812,0.0025062656641604,0,0.012531328320802,0.0050125313283208,399,265,0,4.48907409777359,0,0.012531328320802,399,1,0,1,0,0
"2017-06-01","Liberia",5,0,32,9,14,0,0,4,18,10,0,4,13,2,3,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.064,0.018,0.028,0,0,0.008,0.036,0.02,0,0.008,0.026,0.004,0.006,0.008,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,10,12,5,1,19,5,0,0,1,0,0,0.02,0.024,0.01,0.002,0.038,0.01,0,0,0.002,0,0,500,346,0,3.81827960583572,0,0.004,500,0,0,1,0,0
"2017-07-01","Liberia",4,0,42,8,9,0,1,7,10,8,0,1,4,1,4,5,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.00892857142857143,0,0.09375,0.0178571428571429,0.0200892857142857,0,0.00223214285714286,0.015625,0.0223214285714286,0.0178571428571429,0,0.00223214285714286,0.00892857142857143,0.00223214285714286,0.00892857142857143,0.0111607142857143,0,0.00669642857142857,0.00223214285714286,0.00223214285714286,0,0,0,0,0,0,0,0,0,0.00223214285714286,0.00223214285714286,0.00223214285714286,0,0,0,0,0,0,0,12,4,0,9,2,1,1,4,2,0,0,0.0267857142857143,0.00892857142857143,0,0.0200892857142857,0.00446428571428571,0.00223214285714286,0.00223214285714286,0.00892857142857143,0.00446428571428571,0,448,312,0,3.54860710350792,0,0.00669642857142857,448,1,0,1,0,0
"2017-08-01","Liberia",2,2,63,7,20,1,0,7,15,11,0,2,9,1,3,11,1,3,0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.00393700787401575,0.00393700787401575,0.124015748031496,0.0137795275590551,0.0393700787401575,0.00196850393700787,0,0.0137795275590551,0.0295275590551181,0.0216535433070866,0,0.00393700787401575,0.0177165354330709,0.00196850393700787,0.00590551181102362,0.0216535433070866,0.00196850393700787,0.00590551181102362,0,0.00984251968503937,0.00196850393700787,0,0,0,0,0.00196850393700787,0,0,0,0,0,0.00196850393700787,0,0,0,0,0,0.00196850393700787,4,9,2,0,8,6,2,0,2,1,3,0.0078740157480315,0.0177165354330709,0.00393700787401575,0,0.015748031496063,0.0118110236220472,0.00393700787401575,0,0.00393700787401575,0.00196850393700787,0.00590551181102362,508,319,0,4.06269237550409,0,0.0078740157480315,508,1,0,1,0,0
"2017-09-01","Liberia",1,0,58,8,17,0,1,5,16,2,1,5,8,2,0,3,1,3,1,4,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0.00210526315789474,0,0.122105263157895,0.0168421052631579,0.0357894736842105,0,0.00210526315789474,0.0105263157894737,0.0336842105263158,0.00421052631578947,0.00210526315789474,0.0105263157894737,0.0168421052631579,0.00421052631578947,0,0.00631578947368421,0.00210526315789474,0.00631578947368421,0.00210526315789474,0.00842105263157895,0,0,0,0,0,0.00210526315789474,0,0.00210526315789474,0.00421052631578947,0,0,0,0.00210526315789474,0,0,0,0,0,2,18,1,1,9,2,1,0,0,2,2,0.00421052631578947,0.0378947368421053,0.00210526315789474,0.00210526315789474,0.0189473684210526,0.00421052631578947,0.00210526315789474,0,0,0.00421052631578947,0.00421052631578947,475,312,0,2.12614580797491,0,0.0105263157894737,475,0,0,1,0,0
"2017-10-01","Liberia",1,0,175,42,8,2,1,9,16,11,2,2,10,4,7,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153846153846154,0,0.269230769230769,0.0646153846153846,0.0123076923076923,0.00307692307692308,0.00153846153846154,0.0138461538461538,0.0246153846153846,0.0169230769230769,0.00307692307692308,0.00307692307692308,0.0153846153846154,0.00615384615384615,0.0107692307692308,0.00615384615384615,0,0.00615384615384615,0.00307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,5,1,2,0,1,2,4,0.00307692307692308,0.00307692307692308,0.00461538461538462,0.00153846153846154,0.00769230769230769,0.00153846153846154,0.00307692307692308,0,0.00153846153846154,0.00307692307692308,0.00615384615384615,650,342,0,3.44308628739645,0,0.00153846153846154,650,1,0,1,0,0
"2017-11-01","Liberia",0,1,34,71,15,0,1,5,27,6,0,1,27,3,5,6,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00209205020920502,0.0711297071129707,0.148535564853556,0.0313807531380753,0,0.00209205020920502,0.0104602510460251,0.0564853556485356,0.0125523012552301,0,0.00209205020920502,0.0564853556485356,0.00627615062761506,0.0104602510460251,0.0125523012552301,0.00418410041841004,0.00836820083682008,0,0.00836820083682008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00209205020920502,0,0,2,10,5,0,5,2,2,0,0,3,0,0.00418410041841004,0.0209205020920502,0.0104602510460251,0,0.0104602510460251,0.00418410041841004,0.00418410041841004,0,0,0.00627615062761506,0,478,269,0,5.6569469691528,0,0.00209205020920502,478,1,0,1,0,0
"2017-12-01","Liberia",2,0,173,18,11,1,0,1,20,6,0,3,16,4,1,3,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0.00288600288600289,0,0.24963924963925,0.025974025974026,0.0158730158730159,0.00144300144300144,0,0.00144300144300144,0.0288600288600289,0.00865800865800866,0,0.00432900432900433,0.0230880230880231,0.00577200577200577,0.00144300144300144,0.00432900432900433,0,0.00288600288600289,0,0.00144300144300144,0,0,0,0,0,0.00144300144300144,0,0.00144300144300144,0.00144300144300144,0,0,0.00144300144300144,0.00144300144300144,0.00144300144300144,0,0,0,0,4,8,3,2,9,0,1,0,0,0,2,0.00577200577200577,0.0115440115440115,0.00432900432900433,0.00288600288600289,0.012987012987013,0,0.00144300144300144,0,0,0,0.00288600288600289,693,421,2,3.1207926426844,0,0.00865800865800866,693,0,0,1,0,0
"2018-01-01","Liberia",2,0,19,0,9,2,0,13,12,13,0,0,20,3,8,13,0,4,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0036101083032491,0,0.0342960288808664,0,0.0162454873646209,0.0036101083032491,0,0.0234657039711191,0.0216606498194946,0.0234657039711191,0,0,0.036101083032491,0.00541516245487365,0.0144404332129964,0.0234657039711191,0,0.0072202166064982,0,0,0,0,0,0.0036101083032491,0.00180505415162455,0.00180505415162455,0,0,0,0,0,0.00180505415162455,0,0,0,0.00180505415162455,0,0,3,3,2,0,7,4,1,0,0,3,2,0.00541516245487365,0.00541516245487365,0.0036101083032491,0,0.0126353790613718,0.0072202166064982,0.00180505415162455,0,0,0.00541516245487365,0.0036101083032491,554,430,2,5.47550711174853,0,0.0108303249097473,554,1,0,1,0,0
