"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_recognition","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_recognitionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","actuniger.com","nigerinter.com","lesahel.org","tamtaminfo.com","airinfoagadez.com","nigerexpress.info","journalduniger.com"
"2012-01-01","Niger",0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0.0217391304347826,0,0,0,0,0,0,0.0217391304347826,0,0,0.0434782608695652,0.0652173913043478,0.0434782608695652,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0,46,34,0,7.13395136432414,0,0.0217391304347826,46,0,0,0,1,0,1,0
"2012-02-01","Niger",0,0,0,0,0,0,0,4,7,0,0,0,1,0,1,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.11864406779661,0,0,0,0.0169491525423729,0,0.0169491525423729,0,0,0.0338983050847458,0.0338983050847458,0.135593220338983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0169491525423729,59,34,0,8.21039340622061,0,0,59,0,0,0,1,0,1,0
"2012-03-01","Niger",3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.02,0,0,0.06,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0.02,0,0.04,0,0,0,0,0,0.02,50,32,1,8.68984453232397,0,0,50,0,0,0,1,0,1,0
"2012-04-01","Niger",0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869565217391304,0.0217391304347826,0,0,0.0217391304347826,0,0,0.0217391304347826,0,0,0,0.0434782608695652,0.152173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,46,29,0,8.67642834408749,0,0,46,0,0,0,1,0,1,0
"2012-05-01","Niger",0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285714285714286,0,0.114285714285714,0.0285714285714286,0,0,0,0,0,0.0285714285714286,0,0,0,0,0.0571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0285714285714286,0,0,0,0.0285714285714286,0,0,0,0,0,0,35,24,0,6.90151692571544,0,0,35,0,0,0,1,0,1,0
"2012-06-01","Niger",3,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0638297872340425,0,0,0,0,0,0,0.0425531914893617,0,0,0,0.0212765957446809,0.0638297872340425,0,0.0212765957446809,0,0,0,0.106382978723404,0.106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,47,28,0,11.6755811228856,0,0,47,0,0,0,0,0,1,0
"2012-07-01","Niger",1,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0.166666666666667,0.0185185185185185,0,0,0,0,0,0.0185185185185185,0,0,0,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,36,0,7.93063619162071,0,0,54,0,0,0,0,0,1,0
"2012-08-01","Niger",0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882352941176471,0,0.0588235294117647,0,0,0,0,0.0294117647058824,0,0,0,0.0588235294117647,0.0882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,34,22,1,6.74542255266649,0,0,34,0,0,0,1,0,1,0
"2012-09-01","Niger",1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0.102040816326531,0,0.0408163265306122,0,0,0,0,0,0,0,0.102040816326531,0,0.0408163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0,49,33,1,5.62672162855963,0,0,49,0,0,0,1,0,0,0
"2012-10-01","Niger",0,0,0,0,0,0,0,3,7,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638297872340425,0.148936170212766,0,0,0.0212765957446809,0.0425531914893617,0,0.0212765957446809,0,0,0,0,0.0851063829787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0.0212765957446809,0,0,0,0.0212765957446809,0,0.0638297872340425,47,26,1,8.41891620837005,0,0,47,0,0,0,0,0,1,0
"2012-11-01","Niger",0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0.0967741935483871,0,0,0,0.0645161290322581,0,0,0,0,0,0,0.129032258064516,0.0967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,0,9.34322569751667,0,0,31,0,0,0,1,0,0,0
"2012-12-01","Niger",3,0,1,0,0,1,0,0,0,0,3,1,3,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0681818181818182,0,0.0227272727272727,0,0,0.0227272727272727,0,0,0,0,0.0681818181818182,0.0227272727272727,0.0681818181818182,0,0,0,0,0,0.0227272727272727,0.227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0681818181818182,44,21,0,15.1453962505431,0,0,44,0,0,0,1,0,0,0
"2013-01-01","Niger",3,0,0,0,0,0,0,2,8,0,0,24,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0.016,0.064,0,0,0.192,0,0,0,0,0,0,0.08,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,125,67,0,10.7398046131671,0,0,125,0,0,0,1,0,0,0
"2013-02-01","Niger",5,0,0,0,0,0,0,1,1,0,0,5,4,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0.0153846153846154,0.0153846153846154,0,0,0.0769230769230769,0.0615384615384615,0,0,0,0,0,0.0923076923076923,0.0615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0.0307692307692308,0,0,0,0,0,0,0,0,0.0461538461538462,65,38,1,11.9198542190883,0,0,65,0,0,0,1,0,1,0
"2013-03-01","Niger",2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0.0303030303030303,0,0,0,0.0303030303030303,0,0,0.0303030303030303,0,0,0,0,0,0,0.0606060606060606,0.121212121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,33,21,0,9.98618082933304,0,0,33,0,0,0,1,0,0,0
"2013-04-01","Niger",1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,0,0,0,0,0,1,0,0,0,0,0,0,0.0232558139534884,0,0,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0.0697674418604651,0,0,0,0.209302325581395,0.186046511627907,0,0,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,20,0,11.130983224028,0,0.0232558139534884,43,0,0,0,1,0,0,0
"2013-05-01","Niger",3,0,1,0,1,0,0,3,1,0,0,3,1,0,0,0,0,2,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0.00740740740740741,0,0.00740740740740741,0,0,0.0222222222222222,0.00740740740740741,0,0,0.0222222222222222,0.00740740740740741,0,0,0,0,0.0148148148148148,0.185185185185185,0.274074074074074,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.00740740740740741,0,0.00740740740740741,0,0,0,0,0,0,0,0.0444444444444444,135,52,1,11.8340072279802,0,0,135,0,0,0,1,0,0,0
"2013-06-01","Niger",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0.0166666666666667,0,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0.0333333333333333,0,0,0,0,0,0,0.0166666666666667,0,0,0.0333333333333333,60,37,1,10.5672819270661,0,0,60,0,0,0,0,0,0,0
"2013-07-01","Niger",0,0,3,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967741935483871,0.032258064516129,0,0,0,0.032258064516129,0.0645161290322581,0,0,0,0.032258064516129,0,0,0,0,0,0.193548387096774,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,31,15,1,9.50292113930883,0,0,31,0,0,0,0,0,0,0
"2013-08-01","Niger",0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0.111111111111111,0,0,0,0,0,0.0555555555555556,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,4.53540165036538,0,0,18,1,0,0,1,0,0,0
"2013-09-01","Niger",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0.05,0,0.025,0,0.05,0,0,0,0,40,28,1,8.58894595392533,0,0,40,0,0,0,1,0,0,0
"2013-10-01","Niger",1,0,0,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0.0078125,0,0.0078125,0,0,0,0.0078125,0,0,0.046875,0,0,0,0.03125,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0.0078125,0,0,0,0,0,0,0,0.0234375,0.0078125,128,103,3,7.53417419646322,0,0,128,1,0,0,1,0,0,0
"2013-11-01","Niger",9,1,1,0,0,0,0,3,1,3,1,0,0,0,2,1,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.109756097560976,0.0121951219512195,0.0121951219512195,0,0,0,0,0.0365853658536585,0.0121951219512195,0.0365853658536585,0.0121951219512195,0,0,0,0.024390243902439,0.0121951219512195,0.0121951219512195,0,0.0975609756097561,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.0609756097560976,0,0,0,0,0,0,0,0,0,0.0121951219512195,82,43,0,10.6485630182247,0,0,82,1,0,0,1,0,1,0
