Name,Date,Date Created,Language,Last update,Next selenium update,Schedule,Status,This update
SLV: El Salvador,24-Aug-24,11/15/22 8:20,"es, en",5-Jun-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,24-Aug-24
LBR: Liberia,21-Aug-24,8/2/23 23:44,en,5-Jun-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,21-Aug-24
KEN: Kenya,21-Aug-24,10/13/22 15:42,en,13-May-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,14-Aug-24
HND: Honduras,20-Aug-24,11/1/22 10:33,"es, en",20-May-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,20-Aug-24
KGZ: Kyrgyzstan,20-Aug-24,2/6/23 12:47,"en, ru, kg",20-May-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,20-Aug-24
SEN: Senegal,20-Aug-24,10/12/22 17:22,fr,13-Jun-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,20-Aug-24
UZB: Uzbekistan,13-Sep-24,10/26/22 11:42,"en, ru, uz (using deep_translator)",18-Jun-24,,"Dec, Jun, Mar, Sep",Finished ðŸ¥³,11-Sep-24
UKR: Ukraine,12-Sep-24,10/13/22 15:43,"uk, ru, en",18-Jun-24,,"Dec, Jun, Mar, Sep",Finished ðŸ¥³,11-Sep-24
ZMB: Zambia,11-Sep-24,11/1/22 10:33,en,10-May-24,1-Nov-23,"Aug, Feb, May, Nov",Finished ðŸ¥³,9-Aug-24
NPL: Nepal,24-Jul-24,10/11/23 10:20,"ne, en",16-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,11-Jul-24
CMR: Cameroon,4-Aug-24,5/11/23 10:14,fr ,11-Jun-24,,"Apr, Jan, Jul , Oct",Scraping list,8-Jul-24
AZE: Azerbaijan,4-Aug-24,2/6/23 12:47,"en, az, ru",2-May-24,,"Apr, Jan, Jul , Oct",Scraping list,8-Jul-24
PAK: Pakistan,16-Sep-24,9/6/23 10:13,"ur, en",11-Jun-24,,"Dec, Jun, Mar, Sep",Ready for Forecast,12-Sep-24
GEO: Georgia,11-Sep-24,11/9/22 10:51,"ka, en",18-Jun-24,,"Dec, Jun, Mar, Sep",Finished ðŸ¥³,11-Sep-24
TLS: Timor Leste,11-Sep-24,3/26/24 3:24,"tet, pt",11-Apr-24,,"Dec, Jun, Mar, Sep",Ready for Forecast,11-Sep-24
TUR: Turkey,12-Sep-24,11/28/22 12:21,tr,18-Jun-24,,"Dec, Jun, Mar, Sep",Finished ðŸ¥³,11-Sep-24
ARM: ArmeniaA,13-Sep-24,1/24/23 15:16,"hy, ru",5-Jun-24,,"Dec, Jun, Mar, Sep",Finished ðŸ¥³,9-Sep-24
Royaâ€™s project,31-Jul-23,6/12/23 15:58,"sq, az, hy, en, be, hu, ru, kk, ky, ro, sr, tr, uz",31-Jul-23,,,Other Projects,
Regional Sources,15-May-24,12/6/22 10:17,,31-Oct-22,,"Aug, Feb, May, Nov",Count Review Done,3-Dec-22
International Sources,15-May-24,12/6/22 10:17,,31-Oct-22,,"Aug, Feb, May, Nov",Count Review Done,3-Dec-22
AGO: Angola,17-Jul-24,11/22/22 9:55,pt,12-Apr-24,,"Apr, Jan, Jul , Oct",Scraping in progress,2-Jul-24
BEN: Benin,4-Aug-24,12/5/22 0:03,fr,12-Jun-24,,"Apr, Jan, Jul , Oct",Scraping list,19-Jul-24
BFA: Burkina Faso,4-Aug-24,1/10/24 10:07,fr,12-Jun-24,,"Apr, Jan, Jul , Oct",Scraping list,19-Jul-24
NER: Niger,4-Aug-24,10/13/22 16:16,fr,22-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,18-Jul-24
ETH: Ethiopia,4-Aug-24,11/9/22 16:47,"en, am (dl translator)",22-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,18-Jul-24
LKA: Sri Lanka,24-Sep-24,12/5/22 0:02,"en, si",21-Jun-24,,"Dec, Jun, Mar, Sep",Scraping Done,24-Sep-24
BLR: Belarus,4-Oct-24,12/5/22 0:03,"be, ru",12-Jun-24,,"Dec, Jun, Mar, Sep",TCG in progress,24-Sep-24
MRT: Mauritania,7-Oct-24,9/27/22 9:31,"fr, ar",3-Jul-24,,"Apr, Jan, Jul , Oct",TCG in progress,3-Oct-24
TZA: Tanzania,7-Oct-24,12/5/22 0:02,"en, sw",2-Jul-24,,"Apr, Jan, Jul , Oct",Patchtools Done,3-Oct-24
UGA: Uganda,17-Jul-24,12/5/22 0:03,en,15-Apr-24,1-Feb-24,"Apr, Jan, Jul , Oct",Scraping Done,3-Jul-24
PRY: Paraguay,20-Aug-24,12/5/22 0:03,es,12-Apr-24,1-May-24,"Aug, Feb, May, Nov",Finished ðŸ¥³,5-Aug-24
MOZ: Mozambique,24-Jul-24,12/7/22 23:57,"pt, en ",5-Apr-24,,"Apr, Jan, Jul , Oct",Scraping Done,8-Jul-24
SSD: South Sudan,24-Jul-24,7/13/23 16:39,"en, ar",16-Apr-24,,"Apr, Jan, Jul , Oct",Scraping in progress,9-Jul-24
ZWE: Zimbabwe,24-Jul-24,12/5/22 0:03,en,16-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,16-Jul-24
RWA: Rwanda ,24-Jul-24,10/13/22 15:42,"en, fr, rw",29-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,16-Jul-24
NGA: Nigeria,30-Jul-24,10/15/22 13:30,en,23-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,29-Jul-24
GHA: Ghana,4-Aug-24,11/22/22 9:55,en,16-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,16-Jul-24
COD: Congo,4-Aug-24,10/13/22 12:10,fr,25-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,16-Jul-24
MAR: Morocco,17-Jul-24,12/5/22 0:03,"ar, fr",11-Apr-24,1-Dec-23,"Apr, Jan, Jul , Oct",Scraping in progress,3-Jul-24
TUN: Tunisia,4-Aug-24,9/27/22 9:31,"fr, ar",17-Apr-24,,"Apr, Jan, Jul , Oct",Scraping list,18-Jul-24
MLI: Mali ,20-Aug-24,11/1/22 10:33,fr,6-May-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,8-Aug-24
GTM: Guatemala,20-Aug-24,12/5/22 0:03,es,3-May-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,8-Aug-24
XKX: Kosovo,3-Oct-24,12/5/22 0:03,sq,14-Jun-24,1-Aug-24,"Dec, Jun, Mar, Sep",Ready for Forecast,18-Sep-24
KHM: Cambodia,3-Oct-24,9/27/22 9:31,"km, en",11-Jun-24,,"Dec, Jun, Mar, Sep",Ready for Forecast,16-Sep-24
MKD: Macedonia,3-Oct-24,5/24/23 18:06,"sq, en, mk",14-Jun-24,,"Dec, Jun, Mar, Sep",Ready for Forecast,12-Sep-24
KAZ: Kazakhstan,18-Sep-24,1/8/23 19:57,"kk, ru, en",20-Jun-24,1-May-24,"Dec, Jun, Mar, Sep",Ready for Forecast,16-Sep-24
SRB: Serbia,18-Sep-24,10/11/22 14:35,sr,20-Jun-24,,"Dec, Jun, Mar, Sep",Ready for Forecast,16-Sep-24
MYS: Malaysia,9-Sep-24,10/11/22 19:46,"en, ms, zh",23-Jul-24,1-May-24,"Dec, Jun, Mar, Sep",Finished ðŸ¥³,4-Sep-24
PHL: Philippines,5-Sep-24,11/22/22 9:55,"en, tl",20-Jun-24,,"Dec, Jun, Mar, Sep",Finished ðŸ¥³,4-Sep-24
IND: India,6-Sep-24,11/17/22 12:40,"en, hi",18-Jun-24,,"Dec, Jun, Mar, Sep",Finished ðŸ¥³,4-Sep-24
MDA: Moldova,2-Oct-24,3/7/23 9:46,"ro, ru, en",1-Jul-24,,"Dec, Jun, Mar, Sep",Counts Generated,1-Oct-24
BGD: Bangladesh,23-Sep-24,11/1/22 10:33,bn,14-Jun-24,,"Dec, Jun, Mar, Sep",Ready for Forecast,18-Sep-24
ALB: Albania,16-Sep-24,9/27/22 9:34,"sq, en",17-Jun-24,1-Dec-23,"Dec, Jun, Mar, Sep",Ready for Forecast,13-Sep-24
ZAF: South Africa,27-Aug-24,9/27/22 9:31,"af, en, zu",10-May-24,30-Sep-24,"Aug, Feb, May, Nov",Finished ðŸ¥³,9-Aug-24
DZA: Algeria,26-Aug-24,5/18/23 13:48,"fr, ar",13-Jun-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,13-Aug-24
ECU: Ecuador,15-Aug-24,11/1/22 10:33,es,13-May-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,15-Aug-24
NIC: Nicaragua,16-Aug-24,11/1/22 10:33,es,12-Jun-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,15-Aug-24
COL: Colombia,26-Aug-24,11/1/22 10:33,es,5-Jun-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,19-Aug-24
NAM: Namibia,20-Aug-24,11/1/23 14:25,en,26-Mar-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,8-Aug-24
IDN: Indonesia,24-Sep-24,12/5/22 0:03,"en, id",18-Jun-24,1-Oct-24,"Dec, Jun, Mar, Sep",Ready for Forecast,18-Sep-24
SLB: Solomon Islands ,28-Sep-24,9/10/24 15:54,en,,,"Dec, Jun, Mar, Sep",Counts Generated,20-Sep-24
HUN: Hungary,30-Sep-24,10/11/22 19:46,hu,14-Jun-24,,"Dec, Jun, Mar, Sep",Counts Generated,24-Sep-24
JAM: Jamaica,20-Aug-24,10/13/22 15:42,en,9-May-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,8-Aug-24
PER: Peru,20-Aug-24,4/10/23 11:18,es,16-Apr-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,8-Aug-24
DOM: Dominican Republic,20-Aug-24,2/27/24 9:19,es,12-Apr-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,9-Aug-24
MWI: Malawi,15-Aug-24,1/26/23 17:10,en,12-Jun-24,,"Aug, Feb, May, Nov",Finished ðŸ¥³,12-Aug-24
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,